,0
164,저렴한가격에 잘입겠습니다
165,저렴한가격에 잘입겠습니다
166,저렴한가격에 잘입겠습니다
167,저렴한가격에 잘입겠습니다
168,저렴한가격에 잘입겠습니다
169,저렴한가격에 잘입겠습니다
170,저렴하게 구입했습니다.
171,잘받았습니다
172,가성비 대비 좋은 거 같아요 굳
173,2900원인데 품질이 괜찮네요. 색상 선택으로 고민 하다가 베이지색 샀는데 다른 색상들도 사고 싶네요~^^
174,3900원인데 품질이 괜찮네요. 비니수에서 샀던 니트들 잘 입고 있어요. 슬림핏이라 몸에 잘 맞아요
175,비니수에서 샀던 니트들 잘 입고 있어요. 슬림핏이라 몸에 잘맞고 와인색상은 처음인데 괜찮네요~^^
176,기장이 좀 짧긴한데 가격대비 그럭저럭 괜찮아요
177,입을만 할 거 같습니다.
178,입을만 할 거 같습니다.
179,가격이 저렴해도 품질은 좋아요
180,가격이 저렴해도 품질은 만족해요
181,가격이 저렴해도 품질은 좋네요
182,사이즈도작고 싸구려같다
183,저렴 갠춘갠춘
184,갠춘갠춘
185,갠춘갠춘
186,잘입을게요 따뜻할것같아요 아주 좋아요
187,잘 입을께요
188,잘입을께요
189,잘입을께요
190,잘입을케요.
191,잘입을께요.
192,잘받았어요
193,옷이 아름답고 예쁘고따뜻하고 패션어블하고..가격은 놀라워요...오래 롱런부자되세요
194,아름답고 예쁜디자인과 튼튼하고 실용적이며 내구성을갖춘 겨울의 패션모델 비니수 굿이예요
195,디자인이 확실히 예쁘고요 아름답고 멋지고 가격도 참 착하세요 매우감사합니니다
196,옷이 따뜻하고 풍성하며 아름답고 튼튼하고 편하게 늘어나요 매우가묘ㅏ합니다
197,겨울에 따뜻하고 잘늘어나고 튼튼해서 먀우 좋아요 참예뻐요 옷이 맘에들어요 롱런하세요
198,너무 이뻐요
199,너무 이뽀요
200,가성비 좋아요 잘 입을게요
201,가성비 좋은 제품이네요 잘 입을게요
202,가격대비 훌륭합니다
203,가격대비 훌륭합니다
204,가격대비 훌륭합니다
205,소재가 필거 같아서걱정ㅜㅜ
206,요거는 쫌 싼티가 나네요
207,가성비는 정말 만족합니다
208,그냥
209,그냥
210,굿
211,좋아요 옷 냄새 빼고는
212,괜찮은듯합니다
213,좋아요좋아
214,완전좋아요
215,좋습니다
216,오랫만에 마음에드는옷발견 좋아요
217,반품하려다 엄마가 입으신다네요.
218,촉감이 조아요 무난하게 입기 조아요 감사합니다
219,촉감이 조아 외투안에 입기 조아요
220,정말 감사합니다 따뜻하네요
221,선택을 잘못해서 조카에게 줬어요...
222,물건 ㅡ배송 ㅡ만족합니다
223,물건 ㅡ배송 ㅡ만족합니다
224,좋아요좋아요 좋아요좋아요
